Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
16-02-2026,NSEEQ,Buy,NETWEB-EQ,1.0,3071.5,406422148.0,NETWEB,BUY,1,3071.5
19-02-2026,NSEEQ,Sell,NETWEB-EQ,2.0,3520.0,407352097.0,NETWEB,SELL,2,3520.0
20-02-2026,NSEEQ,Sell,NETWEB-EQ,3.0,3530.0,401806183.0,NETWEB,SELL,3,3530.0
20-02-2026,NSEEQ,Buy,NETWEB-EQ,3.0,3397.5,400311286.0,NETWEB,BUY,3,3397.5
23-02-2026,NSEEQ,Buy,NETWEB-EQ,5.0,3604.7,400322499.0,NETWEB,BUY,5,3604.7
02-03-2026,BSEEQ,Buy,PNB-A,20.0,124.7,10266900.0,PNB,BUY,20,124.7
23-02-2026,NSEEQ,Sell,PNB-EQ,1.0,132.29,401508050.0,PNB,SELL,1,132.29
23-02-2026,NSEEQ,Sell,PNB-EQ,19.0,132.25,401508051.0,PNB,SELL,19,132.25
29-01-2026,NSEEQ,Buy,PNB-EQ,20.0,124.49,404513716.0,PNB,BUY,20,124.49
24-02-2026,NSEEQ,Buy,RMDRIP-EQ,20.0,122.39,604377429.0,RMDRIP,BUY,20,122.39
24-02-2026,NSEEQ,Buy,RNBDENIMS-BE,20.0,198.7,603982643.0,RNBDENIMS,BUY,20,198.7
09-02-2026,NSEEQ,Buy,SCI-EQ,20.0,251.03,600662364.0,SCI,BUY,20,251.03
12-02-2026,NSEEQ,Buy,SCI-EQ,30.0,275.37,600862369.0,SCI,BUY,30,275.37
29-01-2026,NSEEQ,Buy,SILVERCASE-EQ,200.0,37.75,608744780.0,SILVERCASE,BUY,200,37.75
30-01-2026,NSEEQ,Buy,SILVERCASE-EQ,100.0,36.29,602881640.0,SILVERCASE,BUY,100,36.29
28-01-2026,NSEEQ,Sell,TATASTEEL-EQ,5.0,193.8,606739196.0,TATASTEEL,SELL,5,193.8
28-01-2026,NSEEQ,Buy,TATASTEEL-EQ,5.0,193.49,600006791.0,TATASTEEL,BUY,5,193.49
05-02-2026,NSEEQ,Sell,UNICHEMLAB-EQ,5.0,436.0,610107054.0,UNICHEMLAB,SELL,5,436.0
05-02-2026,NSEEQ,Buy,UNICHEMLAB-EQ,5.0,435.35,609908064.0,UNICHEMLAB,BUY,5,435.35
02-03-2026,NSEEQ,Buy,UNIONBANK-EQ,20.0,197.58,609397655.0,UNIONBANK,BUY,20,197.58
01-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,5.0,186.0,608322611.0,WALCHANNAG,BUY,5,186.0
03-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,30.0,186.0,613488168.0,WALCHANNAG,BUY,30,186.0
04-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,25.0,183.0,611277396.0,WALCHANNAG,BUY,25,183.0
12-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,20.0,174.2,609403800.0,WALCHANNAG,BUY,20,174.2
12-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,20.0,174.79,609401566.0,WALCHANNAG,BUY,20,174.79
16-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,75.0,168.93,606898037.0,WALCHANNAG,BUY,75,168.93
16-02-2026,NSEEQ,Buy,WALCHANNAG-EQ,25.0,168.95,606898038.0,WALCHANNAG,BUY,25,168.95
16-02-2026,NSEEQ,Sell,WALCHANNAG-EQ,54.0,168.37,604625743.0,WALCHANNAG,SELL,54,168.37
16-02-2026,NSEEQ,Sell,WALCHANNAG-EQ,33.0,168.32,604625744.0,WALCHANNAG,SELL,33,168.32
16-02-2026,NSEEQ,Sell,WALCHANNAG-EQ,13.0,168.32,604625745.0,WALCHANNAG,SELL,13,168.32
19-02-2026,BSEEQ,Buy,WATERBASE-X,2.0,60.0,4301200.0,WATERBASE-X,BUY,2,60.0
02-03-2026,NSEEQ,Buy,YESBANK-EQ,370.0,20.02,608724994.0,YESBANK,BUY,370,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,3.0,20.02,608723257.0,YESBANK,BUY,3,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,4.0,20.02,608722993.0,YESBANK,BUY,4,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,2.0,20.02,608722694.0,YESBANK,BUY,2,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,1.0,20.02,608722273.0,YESBANK,BUY,1,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,3.0,20.02,608721151.0,YESBANK,BUY,3,20.02
